n2\n1,,4,5,6,7,8,9,10,11,12,13,14,15
4,,10,,,,,,,,,,,
5,,11,17,,,,,,,,,,
6,,12,18,26,,,,,,,,,
7,,13,20,27,36,,,,,,,,
8,,14,21,29,38,49,,,,,,,
9,,15,22,31,40,51,63,,,,,,
10,,15,23,32,42,53,65,78,,,,,
11,,16,24,34,44,55,68,81,96,,,,
12,,17,26,35,46,58,71,85,99,115,,,
13,,18,27,37,48,60,73,88,103,119,137,,
14,,19,28,38,50,63,76,91,106,123,141,160,
15,,20,29,40,52,65,79,94,110,127,145,164,185
16,,21,31,42,54,67,82,97,114,131,150,169,
17,,21,32,43,56,70,84,100,117,135,154,,
18,,22,33,45,58,72,87,103,121,139,,,
19,,23,34,46,60,74,90,107,124,,,,
20,,24,35,48,62,77,93,110,,,,,
21,,25,37,50,64,79,95,,,,,,
22,,26,38,51,66,82,,,,,,,
23,,27,39,53,68,,,,,,,,
24,,28,40,55,,,,,,,,,
25,,28,42,,,,,,,,,,
26,,29,,,,,,,,,,,
27,,,,,,,,,,,,,
